"","project","action","seine_id","date","work_area","survey","site_id","hakai_id","semsp_id","jsp_survey_id","species","package_id","fish_time_out","fish_time_dewar","fork_length_field","height_field","weight_field","date_processed","cwt","adipose","weight","standard_length","fork_length","photo_number","comments_protocol","comments_fish_health_lab","dissector","dissection_protocol","analysis_planned","dissection_status","lice_collection_protocol","lice_id_protocol","analyzing_lab","quality_level","comments","quality_log"
"1","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15645",NA,"DE372","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"2","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15646",NA,"DE372","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"3","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15647",NA,"DE372","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"4","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15648",NA,"DE372","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"5","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15649",NA,"DE372","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"6","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15650",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"7","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15651",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"8","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15652",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"9","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15653",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"10","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15654",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"11","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15655",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"12","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15656",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"13","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15657",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"14","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15658",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"15","SEMSP",NA,"DE372N2",2017-06-12,"QUADRA","DI_C","D09","U15659",NA,"DE372","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"16","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15660",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"17","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15661",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"18","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15662",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"19","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15663",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"20","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15664",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"21","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15665",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"22","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15666",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"23","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15667",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"24","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15668",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"25","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15669",NA,"DE376","CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"26","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15670",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"27","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15671",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"28","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15672",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"29","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15673",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"30","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15674",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"31","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15675",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
"32","SEMSP",NA,"DE376N2",2017-06-13,"QUADRA","DI_W","D27","U15676",NA,"DE376","SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIELD LOUSED ONLY","NOT DISSECTED",NA,NA,"HAKAI","Technician",NA,NA
